,Date,Time,ltp,strikeprice,CE_sum,PE_sum,CE_contr,PE_contr
339,28-02-2024,13:30:11,46157.25,46200,770389,426224,64.38,35.62
340,28-02-2024,13:31:12,46150.1,46200,770389,426224,64.38,35.62
341,28-02-2024,13:32:12,46219.75,46200,756846,426073,63.98,36.02
342,28-02-2024,13:33:11,46250.6,46300,821805,411168,66.65,33.35
343,28-02-2024,13:34:11,46222.3,46200,756846,426073,63.98,36.02
344,28-02-2024,13:35:15,46206,46200,723943,442108,62.09,37.91
345,28-02-2024,13:36:12,46229.95,46200,723943,442108,62.09,37.91
346,28-02-2024,13:37:12,46260.6,46300,793769,429359,64.9,35.1
347,28-02-2024,13:38:11,46216.85,46200,719455,469421,60.52,39.48
348,28-02-2024,13:39:11,46204.3,46200,719455,469421,60.52,39.48
349,28-02-2024,13:40:12,46217.05,46200,719455,469421,60.52,39.48
350,28-02-2024,13:41:11,46209.9,46200,737776,485959,60.29,39.71
351,28-02-2024,13:42:10,46197.95,46200,737776,485959,60.29,39.71
352,28-02-2024,13:43:12,46216.6,46200,737776,485959,60.29,39.71
353,28-02-2024,13:44:12,46232.2,46200,741170,502966,59.57,40.43
354,28-02-2024,13:45:12,46206.45,46200,741170,502966,59.57,40.43
355,28-02-2024,13:46:12,46210.55,46200,741170,502966,59.57,40.43
356,28-02-2024,13:47:11,46181.6,46200,747166,496385,60.08,39.92
357,28-02-2024,13:48:12,46176.5,46200,747166,496385,60.08,39.92
358,28-02-2024,13:49:12,46172.3,46200,747166,496385,60.08,39.92
359,28-02-2024,13:50:11,46203.8,46200,746936,502535,59.78,40.22
360,28-02-2024,13:51:11,46209,46200,746936,502535,59.78,40.22
361,28-02-2024,13:52:12,46212.75,46200,746936,502535,59.78,40.22
362,28-02-2024,13:53:11,46232.25,46200,756325,503903,60.01,39.99
363,28-02-2024,13:54:11,46237.3,46200,756325,503903,60.01,39.99
364,28-02-2024,13:55:11,46230.3,46200,756325,503903,60.01,39.99
365,28-02-2024,13:56:12,46234.65,46200,762656,502154,60.3,39.7
366,28-02-2024,13:57:11,46225.45,46200,762656,502154,60.3,39.7
367,28-02-2024,13:58:11,46203.45,46200,762656,502154,60.3,39.7
368,28-02-2024,13:59:11,46241.15,46200,750824,497364,60.15,39.85
369,28-02-2024,14:00:12,46230.5,46200,750824,497364,60.15,39.85
370,28-02-2024,14:01:11,46251.55,46300,803898,489304,62.16,37.84
371,28-02-2024,14:02:11,46248.45,46200,757835,507417,59.9,40.1
372,28-02-2024,14:03:12,46228.25,46200,757835,507417,59.9,40.1
373,28-02-2024,14:04:11,46237.15,46200,757835,507417,59.9,40.1
374,28-02-2024,14:05:12,46237.35,46200,758693,510219,59.79,40.21
375,28-02-2024,14:06:12,46257.65,46300,814109,505434,61.7,38.3
376,28-02-2024,14:07:11,46238.5,46200,758693,510219,59.79,40.21
377,28-02-2024,14:08:12,46242.7,46200,743130,498911,59.83,40.17
378,28-02-2024,14:09:13,46242.35,46200,743130,498911,59.83,40.17
379,28-02-2024,14:10:12,46244.8,46200,743130,498911,59.83,40.17
